name,asin,category,size_tier,weight_oz,cogs,target_margin,inbound_shipping,notes
"BasicGear Cast Net | Zinc Iron, 3ft Radius, 3/8 inch Mesh for Freshwater and Saltwater Bait Fish | Professional Grade and Upgraded Material | Throw Style",B096MCMDPL,home,ls,51.5,7.7875,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: 5K-SC4U-PO06. Verify target margin.
"BasicGear Cast Net | Zinc Iron, 4ft Radius, 3/8 inch Mesh for Freshwater and Saltwater Bait Fish | Professional Grade and Upgraded Material | Throw Style",B096MFRLM4,home,ls,61.8,9.9,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: LY-QQ62-JS2I. Verify target margin.
"BasicGear Cast Net | Zinc Iron, 5ft Radius, 3/8 inch Mesh for Freshwater and Saltwater Bait Fish | Professional Grade and Upgraded Material | Throw Style",B096MBJPRD,home,ls,73.4,11.9825,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: L3-VGUA-NF5A. Verify target margin.
"BasicGear Cast Net | Zinc Iron, 6ft Radius, 3/8 inch Mesh for Freshwater and Saltwater Bait Fish | Professional Grade and Upgraded Material | Throw Style",B096MDLLDJ,home,ls,89.0,14.2375,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: TE-UZKD-TNRW. Verify target margin.
"7ft Zinc Iron 3/8"" SQ",B096VWZSHG,home,,,15.675,30,0,"CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0). Size tier/weight NOT in Amazon export — using tool defaults, verify before trusting FBA fee estimate. Merchant SKU: ZM-4WP8-DGS0."
"BasicGear Cast Net | Zinc Iron, 8ft Radius, 3/8 inch Mesh for Freshwater and Saltwater Bait Fish | Professional Grade and Upgraded Material | Throw Style",B096VW7P8X,home,ls,122.1,20.1125,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: SO-ONJ6-SAA7. Verify target margin.
"10ft Zinc Iron 3/8"" SQ",B0BFDLT6F5,home,,,27.9,30,0,"CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0). Size tier/weight NOT in Amazon export — using tool defaults, verify before trusting FBA fee estimate. Merchant SKU: BSCGRNTZ3110."
"12ft Zinc Iron 3/8"" SQ",B0BFCZY3KC,home,,,32.175,30,0,"CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0). Size tier/weight NOT in Amazon export — using tool defaults, verify before trusting FBA fee estimate. Merchant SKU: BSCGRNTZ3112."
"BasicGear Cast Net | Lead, 3ft Radius, 3/8 inch Mesh for Freshwater and Saltwater Bait Fish | Professional Grade and Upgraded Material | Throw Style",B096MCR94Q,home,ls,56.5,10.0,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: F8-IYJ0-W8C4. Verify target margin.
"BasicGear Cast Net | Lead, 4ft Radius, 3/8 inch Mesh for Freshwater and Saltwater Bait Fish | Professional Grade and Upgraded Material | Throw Style",B096MD4QP4,home,ls,69.1,12.4375,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: TF-77AF-OXBX. Verify target margin.
"BasicGear Cast Net | Lead, 5ft Radius, 3/8 inch Mesh for Freshwater and Saltwater Bait Fish | Professional Grade and Upgraded Material | Throw Style",B096MFRFTC,home,ls,82.6,15.3625,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: TL-94QB-A0V2. Verify target margin.
"BasicGear Cast Net | Lead, 6ft Radius, 3/8 inch Mesh for Freshwater and Saltwater Bait Fish | Professional Grade and Upgraded Material | Throw Style",B096MC6MRF,home,ls,97.6,18.1,30,0,CIF seed 2026-07-18 — landed cost incl. freight (inbound_shipping set to 0); size/weight from FBA Fee Preview export. Merchant SKU: Q2-K2F1-PSJM. Verify target margin.
